Id Empresa;Empresa;Departamento;Municipio; NUSD;Nombre del relleno sanitario;Estado del relleno sanitario;Fecha en que adquiri el estado;Fecha de reporte del estado;Ano de reporte de informacion;Fecha de reporte de informacion;Propietario del relleno sanitario;Latitud;Longitud;Altitud;Fecha inicio de operaciones;Fecha terminacion vida util;Vida util (meses);area media que contiene residuos (m2);Profundidad media de los residuos (m);Tiene cerco perimetral;Tiene caseta de entrada;Tiene drenaje de lixiviados;Cuenta con drenaje de aguas lluvias;Tiene impermeabilizacion de fondo;Tipo de impermeabilizacion de fondo;Tiene cobertura final;Tipo de cobertura final;Tiene estacion de pesaje;Aplica compactacion a los residuos dispuestos;Compactacion aplicada a los residuos dispuestos (T/m3);Capacidad de diseno del relleno sanitario (m3);Capacidad disponible (m3);Tipo de relleno sanitario;Tipo de residuos dispuestos;Caracterizacion de residuos;Organicos (%);Vidrio (%);Metal (%);Plastico (%);Papel (%);Carton (%);Otros organicos (%);Otros inorganicos (%);Fecha ultima caracterizacion;Sistema de drenaje de gases;Cantidad de pozos verticales (chimeneas y horizontales);Cuenta con un proyecto de biogas;Tiene programado desarrollar un proyecto de biogas en los proximos cinco (5) anos;Caudal de biogas en la estacion de quemado (m3/h);Contenido de metano en la estacion de quemado (%);Cantidad de lixiviado producido (L/s);Cantidad de lixiviado tratado (L/s);Representante legal de la empresa;Telefono de contacto;Correo electronico de la empresa
2268;EMPRESAS PUBLICAS DEL MUNICIPIO DE EL SANTUARIO E.S.P.;ANTIOQUIA;EL SANTUARIO;350;GRANJA MANEJO DE RESIDUOS SOLIDOS MUNICIPIO DE EL SANTUARIO;1|EN OPERACION;9/11/1999;10/08/2012;2010;21/01/2011;Empresa;6.1232786;-75.26517358;2193;7/10/1998;31/12/2009;156;7600;26;SI;SI;SI;SI;NO;Otro;SI;Limo;NO;SI;0.4;ND;134000;Relleno sanitario;ordinarios-;SI;53.3;2.36;1.02;6.59;1.5;1.31;0;33.92;27/10/2010;Activo;14;SI-reduccion de emisiones (quema);SI-reduccion de emisiones (quema);16;45;0.12;0.12;JULIAN ESTEBAN HERNANDEZ ECHEVERRI;3222914;elsantuarioesp@une.net.co
4;AQUAMANA E.S.P.;CALDAS;MANIZALES;470;RELLENO LA ESMERALDA;2|CERRADO;25/08/2004;25/08/2004;2002;7/09/2004;Empresa;5.0681104;-75.5173198;0;ND;ND;ND;ND;ND;NO;NO;NO;NO;NO;ND;NO;ND;NO;NO;ND;ND;ND;Relleno sanitario;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;JUAN SEBASTIAN IDARRAGA ARIAS;8775141;pqr@aquamanaesp.gov.co
96;EMPRESA DE SERVICIOS P˜BLICOS DE EL CARMEN DE VIBORAL E.S.P.;ANTIOQUIA;EL CARMEN DE VIBORAL;490;RELLENO SANITARIO ALTO GRANDE;1|EN OPERACION;25/08/2004;11/10/2005;2013;4/03/2014;Empresa;5.98195145;-75.26078014;ND;10/06/1997;ND;36;6796;2;SI;SI;NO;SI;NO;Tierra;SI;Limo;NO;SI;4.59;ND;5320;Relleno sanitario;ordinarios-;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;Pasivo;20;SI-reduccion de emisiones (quema);SI-reduccion de emisiones (quema);0;0;15;0;JOHN JAIRO ARCILA GOMEZ;5432127;lacimarrona.esp@lacimarronaesp.gov.co
2124;ASEO SINCELEJO LIMPIO  S.A.  E.S.P.;SUCRE;SINCELEJO;551;RELLENO SANITARIO EL OASIS;2|CERRADO;6/07/2001;19/12/2006;2005;3/03/2006;Empresa;9.31542935;-75.43298059;213;ND;20/12/2025;ND;ND;ND;SI;SI;SI;SI;SI;ND;NO;Limo;NO;NO;0.95;ND;ND;Relleno sanitario;ordinarios-industriales-escombros-poda de arboles y cesped;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;0.05;0;FABIO IVAN OTALVARO ZUãIGA;2813020;potalvaro@interseo.com.co
2005;EMPRESAS P˜BLICAS DE LA CEJA E.S.P.;ANTIOQUIA;LA CEJA;552;RELLENO RANCHO TRISTE;1|EN OPERACION;16/04/1999;6/09/2004;2016;9/02/2017;Empresa;5.98524225;-75.44673989;ND;26/06/1997;1/01/2023;48;4759.8;10;SI;SI;SI;SI;NO;Sintetico;SI;Limo;SI;SI;0.6;ND;47598;Relleno sanitario;ordinarios-;SI;38;0.17;0.04;0.24;0.17;0.1;3.28;58;10/07/2015;Activo y Pasivo;5;NO;NO;ND;ND;0.2;0.2;JULIO CESAR VELEZ HURTADO;5537788;gerencia@eeppdelaceja.gov.co
567;EMPRESAS PUBLICAS DE YARUMAL E.S.P.;ANTIOQUIA;YARUMAL;591;YARUMOS 2;1|EN OPERACION;7/06/2000;9/09/2004;2008;29/12/2009;Empresa;7.0072117;-75.40863938;ND;1/01/1993;30/07/2006;ND;ND;ND;SI;SI;SI;SI;SI;ND;NO;Limo;NO;NO;1;ND;ND;Relleno sanitario;ordinarios-;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;1.8;1.8;JORGE ALBEIRO RODRIGUEZ RUIZ;8871665;jorgerodriguezruiz@hotmail.com
731;EMPRESA DE OBRAS SANITARIAS DE SANTA ROSA DE CABAL EMPOCABAL ;CALDAS;MANIZALES;631;LA ESMERALDA;2|CERRADO;20/09/1999;15/09/2004;2003;15/09/2004;Empresa;5.0681104;-75.5173198;ND;ND;ND;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;ND;0;Relleno sanitario;ND;N/A;0;0;0;0;0;0;0;0;N/A;N/A;0;N/A;N/A;0;0;0;0;DIEGO MAURICIO MARTINEZ RUIZ;3660791;gerencia@empocabal.com.co
739;EMPRESA DE SERVICIOS PUBLICOS DE PAMPLONA S.A. E.S.P.;NORTE DE SANTANDER;PAMPLONA;651;LA CORTADA;1|EN OPERACION;19/12/2001;13/10/2011;2016;21/02/2017;Empresa;7.3757429;-72.6487845;2420;20/08/1996;31/12/2005;240;9576;19;SI;SI;SI;SI;NO;Arcilla;SI;Otro;SI;SI;0.85;ND;172583;Relleno sanitario;ordinarios-poda de arboles y cesped;SI;57;3.5;0.6;17;5.5;6.2;0.3;9.9;12/04/2016;Pasivo;2;SI-reduccion de emisiones (quema);SI-reduccion de emisiones (quema);1602;51;0.13;0.13;KLAUS FABER MOGOLLON;5684200;secretariaempopamplona@gmail.com
3234;CAUCASIA MEDIO AMBIENTE S.A. E.S.P.;ANTIOQUIA;CAUCASIA;671;RELLENO CAUCASIA;1|EN OPERACION;28/09/2004;28/09/2004;2016;30/08/2017;Otro;7.82747905;-75.04521491;70;11/06/2002;ND;2;28000;21;SI;SI;SI;SI;NO;Sintetico;SI;No aplica;SI;SI;0.93;ND;53000;Relleno sanitario;ordinarios-;SI;28.8;4.7;1.4;7;8.2;8.1;8.2;33.6;19/12/2016;Pasivo;22;NO;NO;ND;ND;0.9;0;JAIRO SALAZAR ESPINOSA;8398844;cmedambiente@gmail.com
794;AGUAS Y ASEO DE EL PEãOL E.S.P.;ANTIOQUIA;PENOL;731;LAS HOYERAS;1|EN OPERACION;26/07/2002;7/10/2004;2014;17/12/2015;Municipio;6.2541153;-75.23635343;ND;3/01/2002;26/07/2027;300;8.5;13;SI;NO;SI;SI;NO;Tierra;SI;Limo;SI;SI;0.45;ND;77.35;Relleno sanitario;poda de arboles y cesped;SI;79.3;2.1;0.95;2.4;0.63;2;0;10;30/06/2013;Pasivo;12;NO;NO;ND;ND;0;0;ANGEL NORBEY GARCIA GIRALDO;8516600;aguasyaseo@aguasyaseo.gov.co
1876;EMPRESA METROPOLITANA DE ASEO DE PASTO S.A.  E.S.P. ;NARINO;PASTO;771;RELLENO SANITARIO ANTANAS;1|EN OPERACION;18/10/2004;18/10/2004;2016;12/04/2017;Municipio;1.2146286;-77.2782516;2.766.929;3/03/1997;31/12/2027;240;20700;7.5;SI;SI;SI;SI;NO;Sintetico;SI;Limo;SI;SI;1;ND;2977900.75;Relleno sanitario;ordinarios-hospitalarios-poda de arboles y cesped;SI;66;3;1;6;2;2;13;7;1/07/2016;Pasivo;9;NO;SI-aprovechamiento del biogas;ND;ND;1.59;1.59;ANGELA MARCELA PAZ ROMERO;7362874;co.emaspasto@veolia.com
842;SECCION SERVICIOS PUBLICOS ;CAUCA;BOLIVAR;791;RELLENO BOLIVAR;1|EN OPERACION;11/07/1996;9/11/2004;2007;21/05/2008;Municipio;1.87332785;-76.99193235;1780;25/05/1992;31/12/2009;ND;ND;ND;NO;NO;NO;NO;NO;ND;NO;Tierra;NO;NO;0.5;ND;ND;Relleno sanitario;ordinarios-hospitalarios-peligrosos-poda de arboles y cesped;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;No tiene;ND;ND;ND;ND;ND;0;0;ESAU PERAFAN  PEREZ;8272383;seccionbolivar@latinmail.com
729;EMPRESA DE SERVICIOS P˜BLICOS DE LA VIRGINIA E.S.P.;RISARALDA;SANTUARIO;831;EL RHIN;2|CERRADO;15/11/2002;27/01/2006;2002;16/02/2005;Otro;5.0214781;-75.94574255;ND;ND;15/11/2002;ND;ND;ND;SI;NO;SI;SI;SI;ND;NO;Arcilla;NO;NO;0.6;ND;ND;Relleno sanitario;ordinarios-poda de arboles y cesped;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;0.2;0;OSCAR EDUAR RESTREPO OROZCO;3682370;contactenos@esplavirginia.gov.co
2092;EMPRESAS PUBLICAS DE NEIVA E.S.P.;HUILA;NEIVA;951;RELLENO SANITARIO LOS ANGELES;1|EN OPERACION;24/01/2000;21/12/2006;2008;16/03/2009;Empresa;2.9263127;-75.2891733;492.31;3/05/1993;1/01/1953;ND;ND;ND;SI;SI;SI;SI;SI;ND;NO;Arcilla;SI;NO;1.1;ND;ND;Relleno sanitario;ordinarios-industriales-escombros-poda de arboles y cesped;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;0.6;0.6;GLORIA CONSTANZA VANEGAS GUTIERREZ;8725500;info@epneiva.gov.co
3304;SERVIASEO S.A.  E.S.P.;SUCRE;COROZAL;1451;LA CANDELARIA;1|EN OPERACION;7/08/2003;28/10/2005;2016;24/04/2019;Empresa;9.2045175;-75.2761998;154;1/04/2003;7/03/2023;480;37000;20;SI;SI;SI;SI;NO;Sintetico;SI;Arcilla;SI;SI;0.85;ND;2193582;Relleno sanitario;ordinarios-poda de arboles y cesped;SI;64.9;5.38;2.8;7.53;4.49;2.04;2.04;3.15;1/12/2015;Pasivo;41;NO;NO;ND;ND;0.22;0;LUCY DEL ROSARIO VERBEL HERAZO;8243690;serviaseosaesp@hotmail.com
2849;INTERASEO DEL SUR S.A.  E.S.P.;TOLIMA;IBAGUE;1473;LA MIEL;2|CERRADO;26/03/2004;26/03/2004;2005;20/04/2006;Otro;4.4446595;-75.2430012;ND;ND;25/04/2019;ND;ND;ND;NO;SI;SI;SI;SI;ND;NO;Tierra;SI;NO;1;ND;ND;Relleno sanitario;ordinarios-industriales-escombros-poda de arboles y cesped;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;6808;6808;JOSE RICARDO TRUJILLO TOBAR;2651593;jtrujillo@interaseo.com.co
1780;EMPRESA DE SERVICIOS PUBLICOS DE CHAPARRAL E.S.P.;TOLIMA;CHAPARRAL;1491;LAS TAPIAS;1|EN OPERACION;1/01/2002;1/11/2005;2009;7/05/2010;Municipio;3.75292055;-75.54718709;790;18/06/1996;1/05/2002;0;0;0;NO;NO;NO;NO;NO;Tierra;SI;Tierra;NO;NO;ND;ND;0;Relleno sanitario;ND;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;No tiene;ND;ND;ND;ND;ND;ND;ND;EDWIN LEONARDO AVILES  GARCIA;2460914;empochaparral1@hotmail.com
2260;EMPRESA REGIONAL DE ASEO S.A.E.S.P.;CUNDINAMARCA;GIRARDOT;1572;RELLENO SANITARIO LA RECEBERA;2|CERRADO;5/05/2006;23/04/2007;2005;9/02/2006;Otro;4.306643;-74.8015665;300;7/10/2005;15/01/2006;ND;ND;ND;SI;SI;SI;SI;SI;ND;NO;Tierra;SI;NO;1.5;ND;ND;Relleno sanitario;ordinarios-poda de arboles y cesped;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;0.35;0.35;DIEGO ISAURO HERNADEZ SALAZAR;8314443;erasgirardot@hotmail.com
2163;EMPRESA DE SERVICIOS P˜BLICOS DE ACACIAS ESP;META;ACACIAS;1632;PLANTA DE TRATAMIENTO DE RESIDUOS SOLIDOS DE ACACIAS;1|EN OPERACION;12/12/2005;12/12/2005;2011;6/06/2012;Municipio;3.9859918;-73.7580765;0;2/01/1998;1/01/2020;360;2960;4;SI;SI;SI;SI;NO;Sintetico;SI;No aplica;SI;SI;1;ND;11840;Relleno sanitario;ordinarios-poda de arboles y cesped;SI;40;0.37;1.2;7.4;0.5;0.5;0;0;12/02/2011;Pasivo;10;NO;NO;ND;ND;1.25;1.25;RUBI JANNETH PATINO LADINO ;6469723;gerencia@espacacias.com
251;EMPRESA DE SERVICIOS P˜BLICOS DE GRANADA ESP -  META;META;FUENTE DE ORO;1675;RELLENO SANITARIO EL PORVENIR;2|CERRADO;25/01/2011;19/05/2015;2011;10/05/2012;Otro;3.4605238;-73.6193204;367;25/01/2011;ND;0;0;0;NO;NO;NO;NO;NO;Tierra;SI;No aplica;NO;NO;ND;ND;0;Relleno sanitario;ND;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;No tiene;ND;NO;NO;ND;ND;0;0;OSCAR RODRIGUEZ MEDINA;6500765;gerencia@espgranadameta.gov.co
2936;INGEAMBIENTE S.A. E.S.P.;BOLIVAR;TURBANA;1695;RELLENO SANITARIO;1|EN OPERACION;10/08/2004;26/12/2005;2005;20/02/2006;Empresa;10.233116;-75.44871856;ND;10/08/2004;15/10/2015;ND;ND;ND;SI;SI;SI;SI;SI;ND;NO;Tierra;SI;NO;0.8;ND;ND;Relleno sanitario;ordinarios-hospitalarios-industriales-peligrosos-escombros-poda de arboles y cesped;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;24.57;24.57;IVAN RAMON ORTEGA NASSIFF;6690032;info@ingeambiente.com
216;EMPRESAS PUBLICAS DE GARZON E.S.P.;HUILA;GARZON;1713;PTRS BIORGANICOS DEL CENTRO;1|EN OPERACION;26/12/2005;9/01/2007;2006;26/05/2008;Municipio;2.1960126;-75.6274845;ND;1/01/1998;ND;ND;ND;ND;SI;SI;SI;SI;NO;ND;NO;Tierra;SI;NO;0.8;ND;ND;Relleno sanitario;ordinarios-;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;No tiene;ND;ND;ND;ND;ND;1;0;JESUS ALBERTO ROJAS SCALANTE;8332011;contactenos@empugaresp.gov.co
2374;EMPRESAS P˜BLICAS MUNICIPALES DE BELEN DE UMBRIA S.A.S.  E.S.P.;RISARALDA;PEREIRA;1733;LA GLORITA;2|CERRADO;30/12/2005;30/12/2005;2002;30/12/2005;Otro;4.8142912;-75.6946451;ND;ND;ND;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;ND;0;Relleno sanitario;ND;N/A;0;0;0;0;0;0;0;0;N/A;N/A;0;N/A;N/A;0;0;0;0;DANIELA MONTOYA PUERTA;3528680;secretaria@epmbelen.com
3247;EMPRESA MULTIPROPOSITO DE CALARCA S.A.S. E.S.P.;QUINDIO;CALARCA;2039;PARQUE AMBIENTAL VILLA KARINA;1|EN OPERACION;9/02/2006;9/02/2006;2013;4/08/2017;Empresa;4.4542787;-75.64630727;1.622.279;15/10/2002;28/02/2009;280;55146;19;SI;SI;SI;SI;NO;Sintetico;SI;Arcilla;SI;SI;1;ND;273000;Relleno sanitario;ordinarios-;SI;58.48;1.95;0.86;14.5;3.44;2.46;11.92;6.39;7/02/2012;Activo;64;SI-reduccion de emisiones (quema);SI-reduccion de emisiones (quema);3.71;2;0.65;0.5;CARLOS ALBERTO HURTADO PLAZAS;7421900;notificaciones@multiproposito.com
1017;UNIDAD ADMINISTRATIVA ESPECIAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE VILLANUEVA CASANARE;CASANARE;VILLANUEVA;2113;LA ESPERANZA;1|EN OPERACION;9/06/1989;13/03/2006;2005;13/03/2006;Municipio;4.6148734;-72.9252395;389;9/06/1989;30/09/2022;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;ND;0;Relleno sanitario;ND;N/A;0;0;0;0;0;0;0;0;N/A;N/A;0;N/A;N/A;0;0;0;0;JOSUE ALEXANDER  BOHORQUEZ PEãA;6241310;uaespdvc@latinmail.com
1017;UNIDAD ADMINISTRATIVA ESPECIAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE VILLANUEVA CASANARE;CASANARE;VILLANUEVA;2114;LA ESPERANZA;2|CERRADO;13/03/2006;24/04/2007;2008;24/03/2009;Municipio;4.6148734;-72.9252395;389;9/06/1989;30/09/2022;ND;ND;ND;SI;NO;SI;SI;SI;ND;NO;Arena;NO;NO;0;ND;ND;Relleno sanitario;ordinarios-poda de arboles y cesped;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;2;2;JOSUE ALEXANDER  BOHORQUEZ PEãA;6241310;uaespdvc@latinmail.com
1133;MUNICIPIO DE AGUADAS CALDAS;CALDAS;AGUADAS;2193;LOS EUCALIPTOS;1|EN OPERACION;23/03/2006;18/01/2007;2007;4/06/2008;Municipio;5.613113;-75.4575902;2170;13/02/1999;21/05/2030;ND;ND;ND;SI;NO;SI;NO;SI;ND;NO;Limo;NO;NO;0;ND;ND;Relleno sanitario;ordinarios-;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;0.04;0.04;GILBERTO ANTONIO DUQUE ARIAS;8515015;aguadascaldas@yahoo.com
738;EMPRESA DE SERVICIOS PUBLICOS DE OCAãA S.A.  E.S.P.;NORTE DE SANTANDER;OCANA;2253;LA MADERA;1|EN OPERACION;4/04/2006;4/04/2006;2011;9/03/2012;Empresa;8.1758238;-73.3670106;1490;10/03/2005;25/03/2009;384;2809;11;SI;SI;SI;SI;NO;Otro;SI;Arena;SI;SI;0.9;ND;78500;Relleno sanitario;ordinarios-;SI;63.6;2.6;1.3;10.9;2.6;2.6;0;16.4;30/01/2011;Pasivo;3;NO;NO;ND;ND;0;0;LIBETH ARGENIDA SARABIA ;5611317;correo@espo.com.co
3383;SERVICIOS AMBIENTALES S.A.  E.S.P.;CUNDINAMARCA;GIRARDOT;2393;PARQUE ECOLOGICO PRADERAS DEL MAGDALENA;1|EN OPERACION;15/05/2006;15/05/2006;2011;6/11/2012;Empresa;4.306643;-74.8015665;275;1/05/2004;9/03/2021;192;4700;12;SI;SI;SI;SI;NO;Tierra;SI;Tierra;SI;SI;1;ND;523294;Relleno sanitario;ordinarios-;SI;40.05;5.87;2.3;34.19;8.42;9.18;0;0;21/01/2011;Pasivo;31;NO;SI-aprovechamiento del biogas;ND;ND;0.28;0.28;SANDRA FERNANDA MENESES VILLAMIZAR;6164821;serambiental@serambiental.com
